targetname,datetime,tdb_utc_offset,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,lighttime,range,range_rate
,iso_utc,s,m,m,m,m/s,m/s,m/s,s,m,m/s
International Space Station (spa,2025-10-01 00:08:50.818,69.18236464262009,948928.9846206914,-5108154.257706657,4372039.959333094,6631.126362890226,-1717.2473742527852,-3437.5659227805872,0.022650067956543774,6790319.546559293,5.192232158390348
International Space Station (spa,2025-10-01 00:09:50.818,69.18236464262009,1344322.4771725852,-5199426.699024436,4155915.4830689714,6543.631805113324,-1323.9939759010906,-3763.8557765386417,0.02265115721374535,6790646.0976531515,5.668745991737789
International Space Station (spa,2025-10-01 00:10:50.818,69.18236464262009,1733565.5028854425,-5266911.516703163,3920723.031443705,6426.185551731865,-924.6278144278308,-4072.921029195767,0.02265233632144998,6790999.58525017,6.089116507650147
International Space Station (spa,2025-10-01 00:11:50.818,69.18236464262009,2114876.162284617,-5310296.639463511,3667539.214969121,6279.317407847671,-520.9767012490378,-4363.33708422367,0.022653593747958726,6791376.552233978,6.450778027272759
International Space Station (spa,2025-10-01 00:12:50.818,69.18236464262009,2486508.4330943814,-5329380.367054786,3397523.62871604,6103.6931694939485,-114.89043643492134,-4633.763600013314,0.02265491753267481,6791773.412907877,6.752000037163781
International Space Station (spa,2025-10-01 00:13:50.818,69.18236464262009,2846760.256630638,-5324072.435675441,3111913.597968928,5900.112053252623,291.76770946792317,-4882.951066139015,0.022656295455048884,6792186.503643336,6.991896101245205
International Space Station (spa,2025-10-01 00:14:50.818,69.18236464262009,3193981.449693853,-5294394.5668367585,2812018.5396384182,5669.503447409745,697.1296849621398,-5109.7470197080365,0.022657715203782187,6792612.133605835,7.170418436787538
International Space Station (spa,2025-10-01 00:15:50.818,69.18236464262009,3526581.400991854,-5240480.490640505,2499213.962541269,5412.9229786442065,1099.3314744252605,-5313.101852655021,0.022659164543415166,6793046.634696883,7.288338372837785
International Space Station (spa,2025-10-01 00:16:50.818,69.18236464262009,3843036.510963952,-5162575.437259736,2174935.132627805,5131.547894896543,1496.5219928940035,-5492.07416075576,0.02266063147550454,6793486.409873672,7.347213165309379
International Space Station (spa,2025-10-01 00:17:50.818,69.18236464262009,4141897.334145106,-5061035.09353366,1840670.432171477,4826.671772503421,1886.8720047319132,-5645.835586230057,0.02266210439171492,6793927.979044815,7.349339888464816
International Space Station (spa,2025-10-01 00:18:50.818,69.18236464262009,4421795.383943558,-4936324.024972088,1497954.444760704,4499.698563695562,2268.583008143232,-5773.675108121443,0.022663572216325468,6794368.021792722,7.297697353427304
International Space Station (spa,2025-10-01 00:19:50.818,69.18236464262009,4681449.560932561,-4789013.567058307,1148360.8005758943,4152.136008901041,2639.8960244913505,-5875.0027381775535,0.022665024535868373,6794803.416238287,7.195877216063995
International Space Station (spa,2025-10-01 00:20:50.818,69.18236464262009,4919672.167487948,-4619779.193477868,793494.8188245102,3785.5884467118053,2999.1002294839623,-5949.352584654851,0.022666451713874682,6795231.273440803,7.048005625746265
International Space Station (spa,2025-10-01 00:21:50.818,69.18236464262009,5135374.473832787,-4429397.3727136655,434985.986277929,3401.749062589382,3344.541362611846,-5996.385252236756,0.022667844988994237,6795648.966813566,6.858656929163366
International Space Station (spa,2025-10-01 00:22:50.818,69.18236464262009,5327571.803259075,-4218741.9282584805,74480.312547909,3002.3916251394357,3674.6298518408967,-6015.88955294276,0.022669196555079443,6796054.156132399,6.632761077257312
