targetname,datetime,tdb_utc_offset,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,lighttime,range,range_rate
,iso_utc,s,m,m,m,m/s,m/s,m/s,s,m,m/s
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 17:54:50.818,69.18236464262009,-15121006.548266249,13063491.743873764,-18036129.34464448,-739.3345900415422,-3307.5119697528157,-1766.7570827365232,0.08979020158783596,26918425.238332838,-6.044665169242429
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 17:55:50.818,69.18236464262009,-15164810.217420153,12864562.942976097,-18141469.96555483,-720.7689992489527,-3323.4062440495254,-1744.5754718551655,0.08978894778077337,26918049.356431693,-6.489333600200335
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 17:56:50.818,69.18236464262009,-15207498.336065551,12664687.790900012,-18245475.79995224,-702.1496255699708,-3339.056685963593,-1722.264591995382,0.08978760502180747,26917646.807420798,-6.933527595881096
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 17:57:50.818,69.18236464262009,-15249067.716440357,12463880.95142448,-18348139.138513066,-683.4777786008636,-3354.4621701913284,-1699.8260072278943,0.08978617340888018,26917217.620662432,-7.377215865059286
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 17:58:50.818,69.18236464262009,-15289515.249466652,12262157.155380366,-18449452.36601457,-664.7547715556003,-3369.621587063425,-1677.2612901483576,0.08978465304619487,26916761.827395946,-7.820367148039985
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 17:59:50.818,69.18236464262009,-15328837.904965755,12059531.199710736,-18549407.96184396,-645.9819211983701,-3384.533842608979,-1654.5720217981186,0.0897830440442096,26916279.460735865,-8.262950218280059
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:00:50.818,69.18236464262009,-15367032.731869208,11856017.946526933,-18647998.500502862,-627.1605477759119,-3399.197858619181,-1631.7597915846336,0.08978134651963084,26915770.555669867,-8.704933884012668
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:01:50.818,69.18236464262009,-15404096.858425783,11651632.322161129,-18745216.65210687,-608.2919749497389,-3413.612572710651,-1608.8261972015912,0.08977956059540601,26915235.14905671,-9.146286989869813
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:02:50.818,69.18236464262009,-15440027.49240443,11446389.316214455,-18841055.18288057,-589.3775297281072,-3427.7769383884543,-1585.7728445487082,0.08977768640071639,26914673.279623955,-9.586978418502655
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:03:50.818,69.18236464262009,-15474821.92129292,11240303.980602397,-18935506.955647312,-570.418542397941,-3441.68992510869,-1562.6013476512894,0.0897757240709695,26914084.98796573,-10.026977092201644
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:04:50.818,69.18236464262009,-15508477.512492718,11033391.428595282,-19028564.93031467,-551.4163464564823,-3455.3505183408543,-1539.3133285793647,0.08977367374779072,26913470.31654026,-10.466251974523141
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:05:50.818,69.18236464262009,-15540991.713509496,10825666.833856005,-19120222.164354518,-532.3722785428246,-3468.7577196297257,-1515.9104173666324,0.08977153557901528,26912829.309667435,-10.904772071900728
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:06:50.818,69.18236464262009,-15572362.052139705,10617145.429473396,-19210471.813278545,-513.2876783692539,-3481.910546656989,-1492.3942519289783,0.08976930971867914,26912162.01352611,-11.342506435278008
